"X1","X2","X3","X4","X5","cus_id"
"NACIONAL","CARR.S","CHIPS.AHOY","DELIPICK.","CUETARA","6419582"
"LAMBERTZ","DU.BOIS.DE.LA.ROCHE","FLORBÚ","SNAPPY","OREO","6599812"
"NACIONAL","CHIPS.AHOY","CARR.S","LAMBERTZ","SNAPPY","6619659"
"FLORBÚ","DULCA","CHIPS.AHOY","OREO","DISNEY","6659815"
"NACIONAL","DELIPICK.","CHIPS.AHOY","JACOBS","TRIUNFO","6679813"
"MCVITIES","CHIPS.AHOY","FRUTOP","MARILAN","ARTIACH","6729743"
"JACOBS","LAMBERTZ","DISNEY","OREO","GULLON","6739641"
"CHIPS.AHOY","DELIPICK.","BALCONI","FLORBÚ","VIEIRA..DE.CASTRO","6789802"
"LAMBERTZ","CHIPS.AHOY","SNAPPY","DELIPICK.","FRUTOP","6799676"
"SABOROSA","OREO","SNAPPY","FRUTOP","VIEIRA..DE.CASTRO","6809659"
"CHIPS.AHOY","DELIPICK.","JACOBS","CARR.S","TUC","6839952"
"BALCONI","ARTIACH","OREO","DAN.CAKE","DELIPICK.","6859923"
"FILIPINOS","SABOROSA","DU.BOIS.DE.LA.ROCHE","VIEIRA..DE.CASTRO","CHIPS.AHOY","6899618"
"CHIPS.AHOY","CARR.S","FLORBÚ","NUTELLA","INSULAR","7039904"
"CHIPS.AHOY","INSULAR","FILIPINOS","FRUTOP","FLORBÚ","7079973"
"OREO","SABOROSA","VIEIRA..DE.CASTRO","DELIPICK.","TUC","7119898"
"CHIPS.AHOY","FRUTOP","SNAPPY","OREO","DU.BOIS.DE.LA.ROCHE","7119955"
"LAMBERTZ","LA.BURGALESA","NUTELLA","FILIPINOS","OREO","7129976"
"DU.BOIS.DE.LA.ROCHE","GRAN.PAVESI","CHIPS.AHOY","MARILAN","FILIPINOS","7139796"
"NACIONAL","BALCONI","OREO","LAMBERTZ","DULCA","7269949"
"CHIPS.AHOY","DELIPICK.","FLORBÚ","CARR.S","MILKA","7349772"
"NUTELLA","MARILAN","FRUTOP","CHIPS.AHOY","FLORBÚ","7389730"
"FLORBÚ","CHIPS.AHOY","NUTELLA","JACOBS","LAMBERTZ","7409778"
"FLORBÚ","INSULAR","NACIONAL","BELVITA","CHIPS.AHOY","7569890"
"BALCONI","GULLON","OREO","DISNEY","TUC","7629630"
"LA.BURGALESA","ARTIACH","DAN.CAKE","OREO","CUETARA","7679874"
"LAMBERTZ","FRUTOP","PROALIMENTAR","CHIPS.AHOY","GRAN.PAVESI","7719577"
"OREO","INSULAR","JACOBS","DELIPICK.","SABOROSA","7729784"
"MCVITIES","CHIPS.AHOY","INSULAR","DU.BOIS.DE.LA.ROCHE","LAMBERTZ","7729819"
"OREO","SABOROSA","DISNEY","BAHLSEN","MILKA","7739787"
"NACIONAL","FRUTOP","OREO","CHIPS.AHOY","DELIPICK.","7819901"
"DULCA","NACIONAL","DELIPICK.","CHIPS.AHOY","MILKA","7859980"
"NACIONAL","TRIUNFO","FRUTOP","CHIPS.AHOY","SABOROSA","7869549"
"CARR.S","CHIPS.AHOY","LA.BURGALESA","TRIUNFO","BAHLSEN","7919932"
"FLORBÚ","CHIPS.AHOY","DELIPICK.","CARR.S","FILIPINOS","7989981"
"MILKA","FLORBÚ","DULCA","VIEIRA..DE.CASTRO","CHIPS.AHOY","8039647"
"INSULAR","CARR.S","BAHLSEN","OREO","BELVITA","8049900"
"MARILAN","BALCONI","CHIPS.AHOY","CUETARA","PROALIMENTAR","8169802"
"FLORBÚ","FRUTOP","NUTELLA","FILIPINOS","CHIPS.AHOY","8189540"
"CARR.S","FLORBÚ","DAN.CAKE","NUTELLA","CHIPS.AHOY","8209651"
"FRUTOP","VIEIRA..DE.CASTRO","JACOBS","MCVITIES","CHIPS.AHOY","8209801"
"NACIONAL","LA.BURGALESA","OREO","SABOROSA","ARTIACH","8209843"
"FRUTOP","FLORBÚ","DAN.CAKE","CHIPS.AHOY","SABOROSA","8219704"
"LAMBERTZ","MILKA","BAUDUCCO","CHIPS.AHOY","INSULAR","8229636"
"NACIONAL","DELIPICK.","FLORBÚ","CHIPS.AHOY","CARR.S","8259629"
"SABOROSA","INSULAR","LA.BURGALESA","DISNEY","OREO","8309990"
"OREO","NUTELLA","CUETARA","LAMBERTZ","FLORBÚ","8449971"
"NACIONAL","DAN.CAKE","CUETARA","CHIPS.AHOY","FRUTOP","8679834"
