"X1","X2","X3","X4","X5","cus_id"
2,3,4,3,3,"33169982"
3,3,3,3,3,"33189852"
3,3,3,3,3,"33289859"
4,3,3,3,3,"33419626"
10,3,8,8,10,"33419788"
3,3,3,2,3,"33459796"
5,4,6,5,4,"33559925"
1,2,3,2,1,"33599647"
3,3,3,1,2,"33629761"
2,2,1,2,2,"33729827"
5,5,5,4,5,"33799842"
5,5,6,7,9,"33819950"
1,2,1,1,1,"33869812"
2,2,2,2,2,"33919808"
3,2,2,2,2,"33949766"
5,5,5,5,5,"33979834"
2,2,2,2,2,"33989604"
2,2,2,2,2,"34029868"
1,1,1,1,2,"34089867"
3,3,3,2,3,"34119894"
1,2,1,1,1,"34139947"
2,1,1,8,7,"34159622"
2,2,2,2,2,"34179982"
4,4,3,5,3,"34189966"
4,3,2,3,3,"34219961"
4,3,3,4,3,"34279797"
4,4,3,4,4,"34399619"
3,3,3,3,3,"34399797"
4,3,4,3,3,"34439806"
4,4,5,4,4,"34479813"
5,4,5,5,5,"34489919"
2,9,5,8,8,"34519809"
2,1,2,2,1,"34559987"
5,6,5,4,5,"34569928"
2,3,3,3,3,"34589863"
4,3,4,4,4,"34609618"
3,3,3,3,5,"34799710"
4,3,3,3,3,"34899963"
4,4,4,3,4,"34929832"
20,4,6,4,6,"34999968"
3,3,3,3,3,"35009936"
12,11,9,13,7,"35119545"
7,5,6,6,6,"35159813"
3,2,3,2,4,"35209712"
2,2,2,2,2,"35359799"
3,5,4,3,3,"35379761"
4,4,3,4,4,"35389919"
4,4,4,4,4,"35439967"
3,3,3,3,3,"35629876"
4,5,4,5,6,"35649822"
1,2,3,3,3,"35699915"
3,3,4,3,3,"35749659"
4,4,4,4,5,"35829769"
2,2,3,3,3,"35879867"
3,3,3,4,3,"35909717"
6,6,5,7,7,"35939966"
8,2,2,2,2,"35999835"
2,2,2,2,1,"35999976"
5,5,4,5,4,"36169605"
4,4,5,5,5,"36169831"
15,15,32,15,14,"36249881"
5,5,3,5,2,"36389625"
3,3,4,2,4,"36499864"
7,8,8,7,8,"36589768"
4,5,5,5,5,"36619796"
3,3,1,2,1,"36619985"
2,2,2,2,2,"36669948"
4,4,3,5,4,"36719954"
2,2,2,2,2,"36739956"
2,2,2,2,2,"36769809"
1,2,2,2,2,"36859904"
3,3,3,2,3,"36919761"
3,6,7,8,9,"36929595"
2,2,2,2,1,"36989721"
2,2,2,2,2,"37009633"
1,2,2,1,2,"37019819"
5,7,5,7,6,"37059708"
9,8,8,8,7,"37089659"
11,10,9,9,9,"37189823"
3,2,3,3,3,"37239575"
2,3,3,3,3,"37259652"
1,1,1,1,1,"37269831"
4,4,4,5,4,"37279640"
4,6,5,5,5,"37279800"
5,7,12,2,2,"37339808"
2,3,3,3,3,"37339829"
2,2,2,3,2,"37349873"
3,4,2,4,3,"37529902"
6,6,7,7,6,"37549587"
4,5,4,4,4,"37549925"
3,3,4,2,3,"37549987"
2,3,3,3,3,"37589999"
5,3,2,2,2,"37609990"
2,2,1,2,3,"37689808"
